HSK_Vocab_ID	HSK_Vocab_Level	HSK_Vocab_Pinyin	HSK_Vocab	HSK_Vocab_Sentance
113	1	gān	干	干杯！
114	1	gànshénme	干什么	在干什么？
115	1	gāo	高	你多高？
116	1	gāoxìng	高兴	他很高兴。
117	1	gàosu	告诉	告诉我！
118	1	gēge | gē	哥哥|哥	你哥哥是谁？
119	1	gē	歌	请唱歌。
120	1	gè	个	哪个？
121	1	gěi	给	给我！
122	1	gēn	跟	跟我来！
123	1	gōngrén	工人	工人罢工。
124	1	gōngzuò	工作	我工作.
125	1	guān	关	没关系！
126	1	guānshàng	关上	关上窗户！
127	1	guì	贵	太贵了！
128	1	guó	国	朕即国家！
129	1	guójiā	国家	朕即国家！
130	1	guówài	国外	汤姆在国外。
131	1	guò	过	过来！
132	1	huán	还	还回去
133	1	háishi	还是	肉还是鱼？
134	1	háiyǒu	还有	还有盐吗？
135	1	háizi	孩子	谁照顾孩子？
136	1	hànyǔ	汉语	他学习汉语。
137	1	hànzì	汉字	汉字很难读。
138	1	hǎo	好	好
139	1	hàochī	好吃	好吃吗？
140	1	hǎokàn	好看	我好看？
141	1	hǎotīng	好听	我唱得好听。
142	1	hǎowánr	好玩儿	这样也很可能是最好玩儿的。
143	1	hào	号	空号。
144	1	hē	喝	请喝茶！
145	1	hé	和	和气点。
146	1	hěn	很	很好！
147	1	hòu	后	后退！
148	1	hòubian	后边	学校后边有一个公园。
149	1	hòutiān	后天	后天来。
150	1	huā	花	这是花吗？
151	1	huà	话	实话？
152	1	huài	坏	没坏。
153	1	huán	还	还回去
154	1	huí	回	回家！
155	1	huídá	回答	请回答！
156	1	huídào	回到	他刚回到家。
157	1	huíjiā	回家	回家！
158	1	huílai	回来	请回来！
159	1	huíqu	回去	还回去
160	1	huì	会	谁会做？
161	1	huǒchē	火车	火车来了！
162	1	jīchǎng	机场	机场在哪里？
163	1	jīpiào	机票	订机票了吗？
164	1	jīdàn	鸡蛋	这是个鸡蛋。
165	1	jǐ	几	几位？
166	1	jì	记	切记！
167	1	jìde	记得	你记得吗？
168	1	jìzhu	记住	请记住！
169	1	jiā	家	回家！
170	1	jiālǐ	家里	你在家里吗？
171	1	jiārén	家人	你的家人好么？
172	1	jiān	间	有房间
173	1	jiàn	见	再见！
174	1	jiànmiàn	见面	初次见面！
175	1	jiào	教	我教书。
176	1	jiào	叫	叫Ishmael。
177	1	jiàoxuélóu	教学楼	一座新的教学楼正在建设。
178	1	jiějie | jiě	姐姐|姐	你的姐姐呢？
179	1	jièshào	介绍	我介绍一下。
180	1	jīnnián	今年	今年是哪一年？
181	1	jīntiān	今天	今天几号？
182	1	jìn	进	请进！
183	1	jìnlái	进来	进来！
184	1	jìnqù	进去	让我进去。
185	1	jiǔ	九	猫有九命。
186	1	jiù	就	就是！
187	1	juéde	觉得	我觉得冷。
188	1	kāi	开	走开！
189	1	kāichē	开车	她会开车。
190	1	kāihuì	开会	他正在开会。
191	1	kāiwánxiào	开玩笑	我开玩笑。
192	1	kàn	看	看看！
193	1	kànbìng	看病	我要看病。
194	1	kàndào	看到	看到了。
195	1	kànjiàn	看见	你看见了吗？
196	1	kǎo	考	考得如何？
197	1	kǎoshì	考试	考试加油！
198	1	kě	渴	你渴吗？
199	1	kè	课	下课了吗？
200	1	kèběn	课本	这本课本很好。
201	1	kèwén	课文	请你读一下课文。
202	1	kǒu	口	众口难调。
203	1	kuài	块	这个几块？
204	1	kuài	快	快！
205	1	lái	来	进来！
206	1	láidào	来到	欢迎来到 Tatoeba。
207	1	lǎo	老	老问题。
208	1	lǎorén	老人	善待老人。
209	1	lǎoshī	老师	李老师好！
210	1	le	了	疯了！
211	1	lěi	累	我累了.
212	1	lěng	冷	冷静！
213	1	lǐ	里	哪里？
214	1	lǐbian	里边	从这里到海边有多远？
215	1	liǎng	两	两点了。
216	1	líng | líng	零|〇	有零钱吗？
217	1	liù	六	六点您行吗？
218	1	lóu	楼	上楼。
219	1	lóushàng	楼上	我要去楼上。
220	1	lóuxià	楼下	在楼下等我
221	1	lù	路	一路顺风！
222	1	lùkǒu	路口	在十字路口右转。
223	1	lùshang	路上	路上小心！
224	1	māma | mā	妈妈|妈	你妈妈呢？
225	1	mǎlù	马路	别过马路！
226	1	mǎshàng	马上	好，马上来！
227	1	ma	吗	是吗？
228	1	mǎi	买	买单！
229	1	màn	慢	慢走啊！
230	1	máng	忙	你忙吗？
231	1	máo	毛	你有毛毯吗？
232	1	méi	没	没门！
233	1	méiguānxi	没关系	没关系！
234	1	méishénme	没什么	没什么好怕的。
235	1	méishìr	没事儿	没事儿。
236	1	méiyǒu	没有	没有。
237	1	mèimei | mèi	妹妹|妹	你有妹妹吗？
238	1	mén	门	开门！
239	1	ménkǒu	门口	门口有个人。
240	1	ménpiào	门票	门票多少钱？
241	1	men （ péngyou men ）	们（朋友们）	朋友们，我们一起去玩吧！
242	1	mǐfàn	米饭	我在吃米饭。
243	1	miànbāo	面包	我吃面包。
244	1	miàntiáor	面条儿	我最喜欢吃牛肉面条儿。
245	1	míngzì	名字	你叫什么名字？
246	1	míngbai	明白	明白。
247	1	míngnián	明年	我明年17岁。
248	1	míngtiān	明天	明天见！
249	1	ná	拿	拿着。
250	1	nǎ	哪	哪个？
251	1	nǎlǐ	哪里	哪里？
252	1	nǎr	哪儿	住哪儿？
253	1	nǎxiē	哪些	哪些是汤姆的？
254	1	nà	那	那儿？
255	1	nàbian	那边	那边很热么？
256	1	nàli	那里	看那里！
257	1	nàr	那儿	那儿？
258	1	nàxiē	那些	那些人疯了！
259	1	nǎi	奶	喝牛奶吧！
260	1	nǎinai	奶奶	我奶奶说话很慢。
261	1	nán	男	男孩渴了。
262	1	nánháir	男孩儿	那个男孩儿很聪明.
263	1	nánpéngyou	男朋友	你男朋友真帅！
264	1	nánrén	男人	那男人是谁？
265	1	nánshēng	男生	这个班有多少男生？
266	1	nán	南	南非很远。
267	1	nánbian	南边	我的家在公园南边
268	1	nán	难	这很难。
269	1	ne	呢	你呢？
270	1	néng	能	不可能！
271	1	nǐ	你	你呢？
272	1	nǐmen	你们	你们呢？
273	1	nián	年	新年好！
274	1	nín	您	您呢？
275	1	niúnǎi	牛奶	喝牛奶吧！
276	1	nǚ	女	女士优先!
277	1	nǚér	女儿	这是我女儿。
278	1	nǚháir	女孩儿	我是个女孩儿。
279	1	nǚpéngyou	女朋友	你女朋友是谁？
280	1	nǚrén	女人	我是女人。
281	1	nǚshēng	女生	女生很聪明。
282	1	pángbiān	旁边	坐我旁边。
283	1	pǎo	跑	快跑！
284	1	péngyou	朋友	谁是他朋友？
285	1	piào	票	你有票吗？
286	1	qī	七	七点了。
287	1	qǐ	起	起床!
288	1	qǐchuáng	起床	起床!
289	1	qǐlai	起来	起来吧！
290	1	qìchē	汽车	汽车开不动。
291	1	qián	前	前进
292	1	qiánbian	前边	前边儿是天安门。
293	1	qiántiān	前天	他前天去了。
294	1	qián	钱	偷钱。
295	1	qiánbāo	钱包	钱包在包里。
296	1	qǐng	请	请！
297	1	qǐngjià	请假	他刚请假走了。
298	1	qǐng jìn	请进	请进！
299	1	qǐngwèn	请问	请问你贵姓？
300	1	qǐng zuò	请坐	请坐！
301	1	qiú	球	你有两颗球
302	1	qù	去	出去！
303	1	qùnián	去年	她去年出生。
304	1	rè	热	热死了！
305	1	rén	人	敝人
306	1	rènshi	认识	我认识她。
307	1	rènzhēn	认真	认真的？
308	1	rì	日	周日见！
309	1	rìqī	日期	我忘了会议的日期。
310	1	ròu	肉	加肉。
311	1	sān	三	整三点。
312	1	shān	山	看那山！
313	1	shāngchǎng	商场	我想去商场。
314	1	shāngdiàn	商店	我去商店。
315	1	shàng	上	穿上.
316	1	shàngbān	上班	今晚谁上班？
317	1	shàngbian	上边	我想要你睡在它上边。
318	1	shàngchē	上车	上车吧！
319	1	shàngcì	上次	你上次考试考得怎样？
320	1	shàngkè	上课	你几点上课？
321	1	shàngwǎng	上网	我上网了。
322	1	shàngwǔ	上午	我上午慢跑。
323	1	shàngxué	上学	我步行上学。
324	1	shǎo	少	多少钱？
325	1	shéi	谁	谁？
326	1	shēnshang	身上	我身上没钱。
327	1	shēntǐ	身体	身体健康！
328	1	shénme	什么	什么？
329	1	shēngbìng	生病	我生病了。
330	1	shēngqì	生气	别生气。
331	1	shēngrì	生日	生日快乐！
332	1	shí	十	只要十元！
333	1	shíhou	时候	什么时候？
334	1	shíjiān	时间	时间飞逝。
335	1	shì	事	没事！
336	1	shì	试	试一试！
337	1	shì	是	就是！
338	1	shìbùshì	是不是	是不是吓人？
339	1	shǒu	手	住手！
340	1	shǒujī	手机	您有手机吗？
341	1	shū	书	我教书。
342	1	shūbāo	书包	把我的书包还给我。
343	1	shūdiàn	书店	她在书店工作。
344	1	shù	树	树在哪里？
345	1	shuǐ	水	要喝水
346	1	shuǐguǒ	水果	吃水果。
347	1	shuì	睡	好好睡！
348	1	shuìjiào	睡觉	我要睡觉
349	1	shuō	说	说！
350	1	shuōhuà	说话	它说话。
351	1	sì	四	周四再见！
352	1	sòng	送	立即送医。
353	1	suì	岁	丹万岁！
354	1	tā	他	他是谁？
355	1	tāmen	他们	他们呢？
356	1	tā	她	帮她！
357	1	tāmen	她们	她们害怕。
358	1	tài	太	太好了！
359	1	tiān	天	天哪！
360	1	tiānqì	天气	天气怎样？
361	1	tīng	听	听！
362	1	tīngdào	听到	你听到没有！
363	1	tīngjiàn	听见	能听见吗？
364	1	tīngxiě	听写	他边听音乐边写信
365	1	tóngxué	同学	我们是同学。
366	1	túshūguǎn	图书馆	在图书馆。
367	1	wài	外	仅限外用。
368	1	wàibian	外边	外边风刮得很大。
369	1	wàiguó	外国	我想去外国。
370	1	wàiyǔ	外语	我喜欢外语。
371	1	wánr	玩儿	再见！有空多来玩儿！
372	1	wǎn	晚	晚安！
373	1	wǎnfàn	晚饭	晚饭好了。
374	1	wǎnshàng	晚上	晚上好！
375	1	wǎngshàng	网上	我在网上。
376	1	wǎngyǒu	网友	通过网络，我们可以结交很多朋友。
377	1	wàng	忘	我忘了。
378	1	wàngjì	忘记	别忘记。
379	1	wèn	问	提问！
380	1	wǒ	我	我！
381	1	wǒmen	我们	我们走吧!
382	1	wǔ	五	二百五！
383	1	wǔfàn	午饭	吃午饭了吗？
384	1	xī	西	吃东西。
385	1	xībiān	西边	太阳在西边落下
386	1	xǐ	洗	干洗吧。
387	1	xǐshǒujiān	洗手间	洗手间在哪里？
388	1	xǐhuan	喜欢	但你喜欢！
389	1	xià	下	停下！
390	1	xiàbān	下班	你几点下班？
391	1	xiàbian	下边	狗在桌子下边。
392	1	xiàchē	下车	咱下车吧。
393	1	xiàcì	下次	下次做好点。
394	1	xiàkè	下课	下课了吗？
395	1	xiàwǔ	下午	下午好。
396	1	xiàyǔ	下雨	下雨吗？
397	1	xiān	先	你先请！
398	1	xiānsheng	先生	谢谢您，先生。
399	1	xiànzài	现在	现在呢？
400	1	xiǎng	想	想得好!
401	1	xiǎo	小	小心！
402	1	xiǎoháir	小孩儿	她还是个小孩儿。
403	1	xiǎojie	小姐	请问小姐芳龄？
404	1	xiǎopéngyǒu	小朋友	小朋友都是外国人。
405	1	xiǎoshí	小时	他讲了一小时。
406	1	xiǎoxué	小学	小学很无聊。
407	1	xiǎoxuéshēng	小学生	有两千小学生到校。
408	1	xiào	笑	可笑!
409	1	xiě	写	快写！
410	1	xièxie	谢谢	谢谢！
411	1	xīn	新	新年好！
412	1	xīnnián	新年	新年好！
413	1	xīngqī	星期	下星期见.
414	1	xīngqīrì	星期日	星期日营业吗？
415	1	xīngqītiān	星期天	星期天几号?
416	1	xíng	行	行。
417	1	xiūxi	休息	休息好吗？
418	1	xué	学	学吧！
419	1	xuésheng	学生	你是学生吗？
420	1	xuéxí	学习	您学习吗？
421	1	xuéxiào	学校	我去学校。
422	1	xuéyuàn	学院	他是法学院学生。
423	1	yào	要	不要死！
424	1	yéye	爷爷	爷爷买给我的！
425	1	yě	也	谬也。
426	1	yè	页	有一页缺了。
427	1	yī	一	来一下！
428	1	yīfú	衣服	我脱衣服。
429	1	yīshēng	医生	她是医生。
430	1	yīyuàn	医院	他在医院。
431	1	yībàn	一半	一半学生缺席了。
432	1	yīhuìr	一会儿	一会儿见！
433	1	yīkuàir	一块儿	我们一块儿吃的。
434	1	yīxià r	一下儿	她拥抱了一下儿子,然后让他上床睡觉。
435	1	yīyàng	一样	像傻瓜一样！
436	1	yībiān	一边	一边站着。
437	1	yīdiǎnr	一点儿	轻一点儿放！
438	1	yīqǐ	一起	一起来吧。
439	1	yīxiē	一些	安静一些啦！
440	1	yòng	用	没用的！
441	1	yǒu	有	有吗？
442	1	yǒu de	有的	这是常有的事。
443	1	yǒumíng	有名	我没有名字。
444	1	yǒushíhou | yǒushí	有时候|有时	有时候不知道的。
445	1	yǒu （ yī ） xiē	有（一）些	您有一些书。
446	1	yǒuyòng	有用	电很有用。
447	1	yòu	右	向右转。
448	1	yòubian	右边	我在右边。
449	1	yǔ	雨	躲雨。
450	1	yuán	元	50日元。
451	1	yuǎn	远	远吗？
452	1	yuè	月	月光好亮。
453	1	zài	再	再见！
454	1	zàijiàn	再见	再见！
455	1	zài	在	现在呢？
456	1	zàijiā	在家	我在家。
457	1	zǎo	早	早！
458	1	zǎofàn	早饭	包括早饭吗？
459	1	zǎoshang	早上	早上好！
460	1	zěnme	怎么	怎么了？
461	1	zhàn	站	站住！
462	1	zhǎo	找	快去找。
463	1	zhǎodào	找到	找到汤姆。
464	1	zhè	这	这是啥？
465	1	zhèbiān	这边	坐这边
466	1	zhèlǐ	这里	在这里吗？
467	1	zhèr	这儿	他在这儿!
468	1	zhèxiē	这些	这些是笔。
469	1	zhe	着	着哇！
470	1	zhēn	真	真好！
471	1	zhēnde	真的	真的？
472	1	zhèng	正	正确！
473	1	zhèngzài	正在	正在下雹。
474	1	zhīdào	知道	谁知道？
475	1	zhīshi	知识	知识是什么？
476	1	zhōng	中	她讲中文。
477	1	zhōngguó	中国	中国欢迎你！
478	1	zhōngjiān	中间	路中间有一辆卡车。
479	1	zhōngwén	中文	她讲中文。
480	1	zhōngwǔ	中午	现在才中午。
481	1	zhōngxué	中学	你是中学学生吗？
482	1	zhōngxuéshēng	中学生	他是一名高中学生。
483	1	zhòng	重	重复！
484	1	zhòngyào	重要	这不重要。
485	1	zhù	住	住手！
486	1	zhǔnbèi	准备	你准备待多久？
487	1	zhuōzi	桌子	房间没有桌子.
488	1	zì	字	字、字⋯⋯
489	1	zi （ zhuōzi ）	子（桌子）	房间没有桌子.
490	1	zǒu	走	走开！
491	1	zǒulù	走路	我走路去。
492	1	zuì	最	最差劲!
493	1	zuìhǎo	最好	我最好。
494	1	zuìhòu	最后	最后她没有来。
495	1	zuótiān	昨天	昨天很冷。
496	1	zuǒ	左	左转!
497	1	zuǒbian	左边	走左边的道路。
498	1	zuò	坐	请坐！
499	1	zuòxia	坐下	请坐下。
500	1	zuò	做	您做啦！
501	2	a	啊	啊!
502	2	àiqíng	爱情	给爱情开门！
503	2	àiren	爱人	我的爱人不爱我。
504	2	ānjìng	安静	安静！
505	2	ānquán	安全	这不安全。
506	2	báisè	白色	纸是白色的。
507	2	bānzhǎng	班长	上大学的时候，小王担任过班长。
508	2	bàn	办	没办法。
509	2	bànfǎ	办法	没办法。
510	2	bàngōngshì	办公室	他在办公室。
511	2	bànyè	半夜	现在半夜。
512	2	bāngzhù	帮助	Tom帮助Mary ？
513	2	bǎo	饱	我吃饱了！
514	2	bàomíng	报名	我怎样报名参加呢？
515	2	bàozhǐ	报纸	报纸在哪儿？
516	2	běifāng	北方	北海道在仙台的北方。
517	2	bèi	背	我背痛。
518	2	bǐrú	比如	我喜欢花，比如说，玫瑰。
519	2	bǐrú shuō	比如说	我喜欢花，比如说，玫瑰。
520	2	bǐ	笔	你有笔吗？
521	2	bǐjì	笔记	你记笔记了吗？
522	2	bǐjìběn	笔记本	把笔记本给我。
523	2	bìxū	必须	必须的！
524	2	biān	边	坐这边
525	2	biàn	变	变大了。
526	2	biànchéng	变成	我想变成您。
527	2	biàn	遍	再做一遍。
528	2	biǎo	表	列表如下：
529	2	biǎoshì	表示	那就表示有问题...
530	2	bùcuò	不错	不错。
531	2	bùdàn	不但	她不但漂亮，而且聪明。
532	2	bùgòu	不够	不够吗？
533	2	bùguò	不过	拗不过他。
534	2	bù tài	不太	我不太累。
535	2	bùyào	不要	不要死！
536	2	bù hǎoyìsi	不好意思	不好意思……
537	2	bùjiǔ	不久	不久前。
538	2	bùmǎn	不满	你老是不满意！
539	2	bùrú	不如	你不如我。
540	2	bù shǎo	不少	汤姆赚不少钱。
541	2	bù tóng	不同	你不同意吗？
542	2	bùxíng	不行	这不行!
543	2	bùyīdìng	不一定	不一定。
544	2	bù yīhuìr	不一会儿	我不介意等一会儿。
545	2	bùfen	部分	翻译划线部分。
546	2	cái	才	这样才对！
547	2	càidān	菜单	请给我菜单。
548	2	cānguān	参观	你想参观一下吗？
549	2	cānjiā	参加	我会参加。
550	2	cǎo	草	离开草坪!
551	2	cǎodì	草地	不要踩草地。
552	2	céng	层	你住几层了？
553	2	chá	查	检查一下！
554	2	chàbuduō	差不多	差不多10点了。
555	2	cháng	长	这有多长？
556	2	cháng jiàn	常见	这很常见。
557	2	cháng yòng	常用	汤姆经常用手机拍照。
558	2	chǎng	场	场面很大!
559	2	chāoguò	超过	他超过80公斤重。
560	2	chāoshì	超市	去了超市。
561	2	chēliàng	车辆	车辆靠左行驶。
562	2	chēng	称1	他被称为最优秀的学生。
563	2	chéng	成	梦想成真！
564	2	chéngjì	成绩	你成绩比我好。
565	2	chéngwéi	成为	您想成为什么？
566	2	chóngfù	重复	重复！
567	2	chóngxīn	重新	重新来过吧。
568	2	chūfā	出发	你几点出发？
569	2	chūguó	出国	我想要出国。
570	2	chūkǒu	出口	哪儿是出口？
571	2	chūmén	出门	他刚出门。
572	2	chūshēng	出生	她几点出生?
573	2	chūxiàn	出现	烟雾出现了。
574	2	chūyuàn	出院	他快要出院了吧？
575	2	chūzū	出租	她开出租车？
576	2	chūzūchē	出租车	她开出租车？
577	2	chuán	船	请上船！
578	2	chuī	吹	风吹衣动。
579	2	Chūnjié	春节	春节快乐!
580	2	chūntiān	春天	春天了
581	2	cí	词	查词典。
582	2	cídiǎn	词典	查词典。
583	2	cíyǔ	词语	请在括号中填上一个词语。
584	2	cóngxiǎo	从小	好习惯是从小养成的。
585	2	dāying	答应	我答应了。
586	2	dǎgōng	打工	周末我在超市打工。
587	2	dǎsuàn	打算	你打算赢吗？
588	2	dǎyìn	打印	你有打印机吗？
589	2	dàbùfen	大部分	大部分是年轻人。
590	2	dàdà	大大	亚历山大大帝死在巴比伦。
591	2	dàduōshù	大多数	猫大多数都讨厌狗。
592	2	dàhǎi	大海	大海是蓝色的。
593	2	dàjiā	大家	大家好！
594	2	dàliàng	大量	需要大量水。
595	2	dàmén	大门	锁大门。
596	2	dàren	大人	你是一个大人.
597	2	dà shēng	大声	大声喊!
598	2	dàxiǎo	大小	别对我大小声。
599	2	dàyī	大衣	他脱掉大衣。
600	2	dàzìrán	大自然	我爱大自然。
601	2	dài	带	带我回家。
602	2	dàilái	带来	你带来了吗？
603	2	dānwèi	单位	短语是句法单位。
604	2	dàn	但	但你喜欢！
605	2	dànshì	但是	但是，我不要。
606	2	dàn	蛋	笨蛋！
607	2	dāng	当	当然!
608	2	dāngshí	当时	他当时很累。
609	2	dǎo	倒	我怕摔倒。
610	2	dàochù	到处	到处都是血。
611	2	dào	倒	我怕摔倒。
612	2	dào	道	谁知道？
613	2	dàolǐ	道理	是什么道理？
614	2	dàolù	道路	我爱的道路
615	2	dé	得	想得好!
616	2	déchū	得出	看得出来吗？
617	2	dehuà	的话	哪儿的话！
618	2	de	得	想得好!
619	2	dēng	灯	关灯。
620	2	děng	等	等等！
621	2	děngdào	等到	我会等到她来。
622	2	děngyú	等于	九减六等于几？
623	2	dī	低	别低估我。
624	2	dìqiú	地球	地球母亲。
625	2	dìtiě	地铁	喀山有地铁。
626	2	dìtiězhàn	地铁站	地铁站有点儿远
627	2	diǎntóu	点头	汤姆点头了。
628	2	diàn	店	去店里！
629	2	diào	掉	扔掉
630	2	dōngběi	东北	中国东北的冬天很冷。
631	2	dōngfāng	东方	飞机飞向东方。
632	2	dōngnán	东南	东南地区多雨湿润。
633	2	dōngtiān	冬天	冬天了。
634	2	dǒng	懂	懂么？
635	2	dǒngde	懂得	我不懂得游泳。
636	2	dòngwù	动物	动物怕火。
637	2	dòngwùyuán	动物园	我去了动物园。
638	2	dúyīn	读音	汤姆很喜欢读音乐。
639	2	dù	度	度假愉快！
640	2	duǎn	短	燃料短缺。
641	2	duǎnxìn	短信	我在写短信。
642	2	duàn	段	每人读一段。
643	2	duì	队	哪个队会赢？
644	2	duìzhǎng	队长	麦克是队长。
645	2	duì	对	对！
646	2	duìhuà	对话	我没有参与对话。
647	2	duìmiàn	对面	花园在房子对面。
648	2	duō	多	多!
649	2	duōjiǔ	多久	多久？
650	2	duōme	多么	多么冷了！
651	2	duōshù	多数	猫大多数都讨厌狗。
652	2	duōyún	多云	那晚多云。
653	2	érqiě	而且	她不但漂亮，而且聪明。
654	2	fā	发	恭喜发财
655	2	fāxiàn	发现	谁发现了美洲？
656	2	fànguǎn	饭馆	这家饭馆开门了吗？
657	2	fāngbiàn	方便	这很方便。
658	2	fāngbiànmiàn	方便面	他强调了城市生活方便的一面。
659	2	fāngfǎ	方法	他的方法不科学。
660	2	fāngmiàn	方面	在这方面，我不如他。
661	2	fāngxiàng	方向	哪个方向是朝北？
662	2	fàngxia	放下	放下！
663	2	fàngxīn	放心	放心，没事的。
664	2	fēn	分	真过分!
665	2	fēnkāi	分开	我宁愿分开。
666	2	fēnshù	分数	她完全不担心测验的分数。
667	2	fēnzhōng	分钟	休息10分钟
668	2	fèn	份	8月份没课。
669	2	fēng	封	这封信谁写的？
670	2	fúwù	服务	招聘服务员。
671	2	fùxí	复习	我想复习英语。
672	2	gāi	该	活该。
673	2	gǎi	改	这必须改。
674	2	gǎibiàn	改变	我没改变。
675	2	gānbēi	干杯	干杯！
676	2	gǎndào	感到	他感到疲惫。
677	2	gǎndòng	感动	情歌感动我。
678	2	gǎnjué	感觉	你感觉如何？
679	2	gǎnxiè	感谢	非常感谢！
680	2	gànhuór	干活儿	他昨天干了一天活儿。
681	2	gāng	刚	我刚到。
682	2	gāngcái	刚才	我刚才在洗澡.
683	2	gānggāng	刚刚	我刚刚吃完。
684	2	gāojí	高级	这家饭店很高级。
685	2	gāozhōng	高中	他们是高中生。
686	2	gèzi	个子	我个子高。
687	2	gèng	更	我更快。
688	2	gōnggòng qìchē	公共汽车	哪里坐公共汽车？
689	2	gōngjiāochē	公交车	公交车来了。
690	2	gōngjīn	公斤	他80公斤。
691	2	gōnglǐ	公里	我今天走了十公里
692	2	gōnglù	公路	他穿过公路。
693	2	gōngpíng	公平	公平点。
694	2	gōngsī	公司	公司倒闭了。
695	2	gōngyuán	公园	我去公园。
696	2	gǒu	狗	狗屁！
697	2	gòu	够	够了！
698	2	gùshi	故事	故事很有趣。
699	2	gùyì	故意	你是故意的！
700	2	gùkè	顾客	顾客没来。
701	2	guānjī	关机	他的手机关机了。
702	2	guānxīn	关心	你关心政治吗？
703	2	guāndiǎn	观点	观点因人而异。
704	2	guǎngchǎng	广场	我要去广场。
705	2	guǎnggào	广告	我登广告卖我的车。
706	2	guójì	国际	国际妇女节快乐！
707	2	guòlái	过来	过来！
708	2	guònián	过年	过年了。
709	2	guòqù	过去	绕过去。
